label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
1 mph-arms rested on the desk-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph with arms on desk,arms on desk
arms rested on the desk-flat grade-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor, with arms on desk,arms on desk
3.5 mph-arms rested on the desk-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-drink-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-drink-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-dominant hand-drink-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-bag-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag with arms on desk,arms on desk
3.5 mph-arms rested on the desk-bag-dominant hand-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag with arms on desk,arms on desk
3.5 mph-arms rested on the desk-dominant hand-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
using computer/tablet (sitting),sitting,sedentary,sedentary,indoor,sitting still,arms on desk
dominant hand-sitting-unlabelled-wear on-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
mbta-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking,free
dominant hand-mbta-standing-unlabelled-wear on,upright,sedentary,sedentary,indoor,standing naturally,free
dominant hand-mbta-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking,free
dominant hand-mbta-unlabelled-wear on,unkown,unkown,unkown,indoor,unkown,unkown
standing-unlabelled-waiting-wear on,upright,sedentary,sedentary,unkown,standing naturally,free
unlabelled-waiting-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking,free
frisbee-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and frisbee,frisbee
bag-standing-unlabelled-waiting-wear on,upright,sedentary,sedentary,unkown,standing with bag,free
bag-standing-texting-unlabelled-waiting-wear on,upright,sedentary,sedentary,unkown,standing and texting with bag,using phone
bag-texting-unlabelled-waiting-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and texting with bag,using phone
bag-standing-texting-unlabelled-wear on,upright,sedentary,sedentary,unkown,standing and texting with bag,using phone
3.5 mph-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-drink-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3.5 mph-drink-flat grade-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3.5 mph-flat grade-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-bag-flat grade-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,treadmill walking at 3-3.5 mph with bag,free
3.5 mph-bag-flat grade-non-dominant hand-treadmill-unlabelled-wear on,upright,unkown,unwear,indoor,treadmill walking at 3-3.5 mph with bag,free
