label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
bag-down-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs with bag,free
elevator-unlabelled-up,upright,sedentary,sedentary,indoor,elevator up,free
bag-elevator-unlabelled-up,upright,sedentary,sedentary,indoor,elevator up with bag,free
phone talking-reclining-unlabelled,sitting,unkown,unkown,unkown,reclining and talking and using phone,holding cellphone
1 mph-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph and talking,talking
2 mph-arms on desk-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph and talking with arms on desk,arms on desk
3.5 mph-texting-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting,using phone
3 mph-drink-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
5.5 mph 5%grade-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph and talking,talking
sweeping-unlabelled,upright,others,others,indoor,sweeping,sweeping
getting ready for something,unkown,unkown,unkown,unkown,unkown,unkown
going somewhere (walking),upright,ambulation,ambulation,unkown,self-paced walking,free
arms on desk-standing-telling story-unlabelled-web browsing,upright,sedentary,sedentary,indoor,standing and web browsing and talking with arms on desk,arms on desk
arms on desk-standing-telling story-typing-unlabelled-web browsing,upright,sedentary,sedentary,indoor,standing and keyboard typing and web browsing and talking with arms on desk,arms on desk
stop light-telling story-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
stop light-telling story-unlabelled,unkown,unkown,unkown,outdoor,talking,talking
standing-stop light-telling story-unlabelled,upright,sedentary,sedentary,outdoor,standing and talking,talking
mbta-telling story-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
outdoors-phone talking-telling story-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
escalator-phone talking-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and escalator and talking and using phone,holding cellphone
escalator-phone talking-standing-unlabelled-up,upright,sedentary,sedentary,indoor,standing and escalator up and talking and using phone,holding cellphone
texting-unlabelled-vending machine-walking,upright,ambulation,ambulation,unkown,self-paced walking and using vending machine and texting,using vending machine
texting-unlabelled-vending machine,upright,sedentary,sedentary,unkown,using vending machine and texting,using vending machine
unlabelled-vending machine,upright,unkown,unkown,unkown,using vending machine,using vending machine
natural-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking naturally,free
bag-down-stairs-telling story-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs and talking with bag,talking
sitting-unlabelled-web browsing,sitting,sedentary,sedentary,unkown,sitting and web browsing,free
300 kpm/min-biking-stationary-unlabelled,sitting,cycling,cycling,indoor,biking outdoor and stationary biking,biking
3.5 mph-arms on desk-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking with arms on desk,arms on desk
3.5 mph-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking,talking
3 mph-phone talking-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
sitting-telling story-web browsing,sitting,sedentary,sedentary,unkown,sitting and web browsing and talking,talking
escalator-standing-telling story-up,upright,sedentary,sedentary,indoor,standing and escalator up and talking,talking
dominant hand-outdoors-phone talking-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
dominant hand-outdoors-phone talking-standing,upright,sedentary,sedentary,outdoor,standing and talking and using phone,holding cellphone
elevator-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator up,free
stationary,unkown,unkown,unkown,unkown,unkown,unkown
stationary-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
standing-stop light,upright,sedentary,sedentary,outdoor,standing naturally,free
bag-stairs-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
up-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
3 mph-arms on desk-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3 mph-drink-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3 mph-drink-non-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3 mph-bag-non-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
jog/running-treadmill,upright,ambulation,ambulation,indoor,running,free
arms on desk-sitting-unlabelled-web browsing,sitting,sedentary,sedentary,indoor,sitting and web browsing with arms on desk,arms on desk
arms on desk-sitting-unlabelled,sitting,sedentary,sedentary,indoor,sitting with arms on desk,arms on desk
arms on desk-standing-unlabelled-writing,upright,sedentary,sedentary,indoor,standing and writing with arms on desk,writing
mbta-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
mbta-outdoors-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
standing-telling story-texting-unlabelled,upright,sedentary,sedentary,unkown,standing and texting and talking,talking
standing-texting-unlabelled,upright,sedentary,sedentary,unkown,standing and texting,using phone
stairs-standing-texting-unlabelled,upright,ambulation,ambulation,indoor,standing and texting and escalator,using phone
dominant hand-mbta-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
dominant hand-mbta-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
dominant hand-down-mbta-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
non-dominant hand-outdoors-phone talking-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
lower body movement-standing-unlabelled-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
elevator-lower body movement-standing-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up,free
bag-dominant hand-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
bag-dominant hand-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
bag-dominant hand-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
bag-non-dominant hand-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
lower body movement-sitting-unlabelled,sitting,sedentary,sedentary,unkown,sitting still,free
3 mph-arms on desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
bag-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking with bag,free
labeling my day,unkown,unkown,unkown,unkown,unkown,unkown
stop light-texting-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting,using phone
stop light-unlabelled-waiting-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
escalator-texting-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and texting and escalator,using phone
escalator-texting-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator up and texting,using phone
escalator-standing-texting-unlabelled-up,upright,sedentary,sedentary,indoor,standing and escalator up and texting,using phone
mbta-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and texting,using phone
unlabelled-waiting-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
down-stairs-unlabelled,upright,ambulation,ambulation,indoor,walking down stairs,free
bag-down-stairs-unlabelled,upright,ambulation,ambulation,indoor,walking down stairs with bag,free
bag-unlabelled,unkown,unkown,unkown,unkown, with bag,free
bag-standing-unlabelled,upright,sedentary,sedentary,unkown,standing with bag,free
bag-standing-unlabelled-waiting,upright,sedentary,sedentary,unkown,standing with bag,free
bag-elevator-unlabelled,upright,sedentary,sedentary,indoor,elevator with bag,free
bag-elevator-standing-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up with bag,free
3 mph-bag-drink-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,carrying a drink
bag-phone talking-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking and using phone with bag,holding cellphone
bag-elevator-standing-telling story-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up and talking with bag,talking
reclining-telling story-texting-unlabelled,sitting,sedentary,sedentary,unkown,reclining and texting and talking,talking
3 mph-bag-dominant hand-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking with bag,talking
3 mph-dominant hand-drink-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
5.5 mph 5%grade-jog/running-unlabelled,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
outdoors-unlabelled-waiting-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
bag-elevator-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator with bag,free
other-unlabelled,unkown,unkown,unkown,unkown,unkown,unkown
reclining-telling story-unlabelled-web browsing,sitting,unkown,unkown,unkown,reclining and web browsing and talking,talking
300 kpm/min-biking-phone talking-stationary-unlabelled,sitting,cycling,cycling,indoor,biking outdoor and stationary biking and talking and using phone,holding cellphone
escalator-telling story-unlabelled,upright,unkown,unkown,indoor,escalator and talking,talking
standing-unlabelled-up,upright,sedentary,sedentary,unkown,standing naturally,free
down-telling story-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking,talking
outdoors-texting-unlabelled,unkown,sedentary,sedentary,outdoor,texting,using phone
frisbee-jumping-unlabelled,upright,others,others,unkown,frisbee,frisbee
bag-down-unlabelled,unkown,unkown,unkown,unkown, with bag,free
shelf reload-unlabelled,unkown,unkown,unkown,unkown,shelf loading or unloading,shelf loading or unloading
shelf reload-shelf unload-unlabelled,unkown,unkown,unkown,unkown,shelf loading or unloading,shelf loading or unloading
shelf unload-unlabelled,unkown,unkown,unkown,unkown,shelf loading or unloading,shelf loading or unloading
unlabelled-web browsing,unkown,unkown,unkown,unkown,web browsing,free
3 mph-drink-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking,carrying a drink
3 mph-phone talking-treadmill-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-phone talking-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-treadmill-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-jog/running-treadmill-unlabelled,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-jog/running-unlabelled,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
sitting-typing-web browsing,sitting,sedentary,sedentary,indoor,sitting and keyboard typing and web browsing,keyboard typing
arms on desk-standing-typing-web browsing,upright,sedentary,sedentary,indoor,standing and keyboard typing and web browsing with arms on desk,arms on desk
down-stairs-texting-walking,upright,ambulation,ambulation,indoor,walking down stairs and texting,using phone
down-phone talking-stairs-walking,upright,ambulation,ambulation,indoor,walking down stairs and talking and using phone,holding cellphone
stop light-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
standing-telling story-waiting,upright,sedentary,sedentary,unkown,standing and talking,talking
mbta-sitting-telling story,sitting,sedentary,sedentary,indoor,sitting and talking,talking
mbta-sitting,sitting,sedentary,sedentary,indoor,sitting still,free
down-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
bag-stairs-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
bag-elevator-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator up with bag,free
3 mph-arms on desk-dominant hand-drink-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3 mph-dominant hand-drink-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3 mph-dominant hand-phone talking-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-non-dominant hand-phone talking-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-non-dominant hand-phone talking-texting-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting and talking and using phone,holding cellphone
3 mph-non-dominant hand-texting-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting,using phone
3.5 mph-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking,talking
still-treadmill,upright,sedentary,sedentary,indoor,unkown,still
down-elevator-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator down and talking,talking
escalator-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and escalator,free
outdoors-telling story-texting-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting and talking,talking
phone talking-stop light-texting-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting and talking and using phone,holding cellphone
biking-frisbee-unlabelled,sitting,cycling,cycling,unkown,frisbee and biking,biking
bag-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
2 mph-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
3 mph-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-sitting-treadmill-unlabelled,sitting,sedentary,sedentary,indoor,treadmill walking at 3-3.5 mph and sitting,free
arms on desk-sitting-web browsing,sitting,sedentary,sedentary,indoor,sitting and web browsing with arms on desk,arms on desk
bag-stop light-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking with bag,talking
bag-outdoors-telling story-waiting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking with bag,talking
bag-outdoors-standing-telling story-waiting,upright,sedentary,sedentary,outdoor,standing and talking with bag,talking
mbta-sitting-texting,sitting,sedentary,sedentary,indoor,sitting and texting,using phone
mbta-sitting-web browsing,sitting,sedentary,sedentary,indoor,sitting and web browsing,free
mbta-walking-web browsing,upright,ambulation,ambulation,indoor,self-paced walking and web browsing,free
down-stairs-walking-web browsing,upright,ambulation,ambulation,indoor,walking down stairs and web browsing,free
down-outdoors-walking-web browsing,upright,ambulation,ambulation,outdoor,self-paced walking and web browsing,free
bag-outdoors-telling story-texting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting and talking with bag,talking
bag-outdoors-phone talking-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone with bag,holding cellphone
bag,unkown,unkown,unkown,unkown, with bag,free
sitting-telling story-texting,sitting,sedentary,sedentary,unkown,sitting and texting and talking,talking
reclining-texting-web browsing,sitting,sedentary,sedentary,unkown,reclining and texting and web browsing,using phone
2 mph-arms on desk-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph and talking with arms on desk,arms on desk
bag-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking with bag,free
3.5 mph-bag-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
5.5 mph 5%grade-treadmill,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
3 mph-dominant hand-phone talking-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
bag-down-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
1 mph-arms on desk-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph with arms on desk,arms on desk
waiting (standing),upright,sedentary,sedentary,unkown,standing naturally,free
standing-still-unlabelled-wear on,upright,sedentary,sedentary,unkown,standing naturally,still
standing-unlabelled-wear on,upright,sedentary,sedentary,unkown,standing naturally,free
unlabelled-wear on,unkown,unkown,unkown,unkown,unkown,unkown
jumping jacks-unlabelled-wear on,upright,others,others,unkown,jumping jacks,jumping jacks
still-unlabelled-wear on,unkown,sedentary,sedentary,unkown,unkown,still
sitting-unlabelled-wear on-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
reclining-unlabelled-wear on,sitting,unkown,unkown,unkown,reclining,free
reclining-telling story-unlabelled-wear on,sitting,unkown,unkown,unkown,reclining and talking,talking
standing-unlabelled-wear on-web browsing,upright,sedentary,sedentary,unkown,standing and web browsing,free
mbta-standing-unlabelled-wear on,upright,sedentary,sedentary,indoor,standing naturally,free
unlabelled-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking,free
telling story-unlabelled-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and talking,talking
unlabelled-vending machine-wear on,upright,unkown,unkown,unkown,using vending machine,using vending machine
stairs-unlabelled-up-wear on,upright,ambulation,ambulation,indoor,escalator,free
stairs-unlabelled-wear on,upright,ambulation,ambulation,indoor,escalator,free
down-stairs-unlabelled-wear on,upright,ambulation,ambulation,indoor,walking down stairs,free
bag-down-stairs-unlabelled-wear on,upright,ambulation,ambulation,indoor,walking down stairs with bag,free
bag-unlabelled-wear on,unkown,unkown,unkown,unkown, with bag,free
biking-outdoors-unlabelled-wear on,sitting,cycling,cycling,outdoor,biking outdoor,biking
elevator-unlabelled-wear on,upright,sedentary,sedentary,indoor,elevator,free
elevator-unlabelled-up-wear on,upright,sedentary,sedentary,indoor,elevator up,free
bag-elevator-unlabelled-up-wear on,upright,sedentary,sedentary,indoor,elevator up with bag,free
laundry-unlabelled,unkown,unkown,unkown,unkown,unkown,laundry
treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking,free
1 mph-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph,free
treadmill-unlabelled-wear on,upright,unkown,unkown,indoor,unkown,unkown
2 mph-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
3 mph-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-phone talking-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,free
3 mph-carrying drinking-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
3 mph-carrying drinking-dominant h-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
3 mph-carrying drinking-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
carrying drinking-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking carrying a drink,carrying a drink
carrying drinking-unlabelled-wear on,unkown,unkown,unkown,unkown, carrying a drink,carrying a drink
3 mph-bag-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
bag-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor, with bag,free
3.5 mph-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,free
jog/running-unlabelled-wear on,upright,ambulation,ambulation,unkown,running,free
jog/running-treadmill-unlabelled-wear on,upright,ambulation,ambulation,indoor,running,free
5% grade-jog/running-treadmill-unlabelled-wear on,upright,ambulation,ambulation,indoor,running,free
5.5 mph-jog/running-treadmill-unlabelled-wear on,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
5.5 mph-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
standing-still,upright,sedentary,sedentary,unkown,standing naturally,still
jumping jacks-sitting,sitting,sedentary,sedentary,unkown,sitting and jumping jacks,jumping jacks
sitting-still,sitting,sedentary,sedentary,unkown,sitting still,still
arms on desk-writing,unkown,unkown,unkown,indoor,writing with arms on desk,writing
reclining-sitting,sitting,sedentary,sedentary,unkown,sitting and reclining,free
reclining-sitting-telling story,sitting,sedentary,sedentary,unkown,sitting and reclining and talking,talking
stairs,upright,ambulation,ambulation,indoor,escalator,free
city-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
city-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
city-telling story-texting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting and talking,talking
city-standing-telling story,upright,sedentary,sedentary,outdoor,standing and talking,talking
mbta-standing-upper body,upright,sedentary,sedentary,indoor,standing naturally,free
mbta-standing-telling story-upper body,upright,sedentary,sedentary,indoor,standing and talking,talking
vending machine,upright,unkown,unkown,unkown,using vending machine,using vending machine
upper body-vending machine,upright,unkown,unkown,unkown,using vending machine,using vending machine
phone talking,unkown,unkown,unkown,unkown,talking and using phone,holding cellphone
city-phone talking-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
phone talking-standing,upright,sedentary,sedentary,unkown,standing and talking and using phone,holding cellphone
standing-wear on,upright,sedentary,sedentary,unkown,standing naturally,free
walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking,free
wear on,unkown,unkown,unkown,unkown,unkown,unkown
elevator-wear on,upright,sedentary,sedentary,indoor,elevator,free
down-elevator-wear on,upright,sedentary,sedentary,indoor,elevator down,free
biking-wear on,sitting,cycling,cycling,unkown,biking,biking
biking-city-wear on,sitting,cycling,cycling,outdoor,biking,biking
bag-stairs,upright,ambulation,ambulation,indoor,escalator with bag,free
bag-stairs-up,upright,ambulation,ambulation,indoor,escalator with bag,free
bag-stairs-telling story-up,upright,ambulation,ambulation,indoor,escalator and talking with bag,talking
shelf unload-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and shelf loading or unloading,shelf loading or unloading
shelf reload-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and shelf loading or unloading,shelf loading or unloading
lying-wear on,lying,sedentary,sleep,indoor,unkown,still
sitting-wear on,sitting,sedentary,sedentary,unkown,sitting still,free
sitting-telling story-wear on,sitting,sedentary,sedentary,unkown,sitting and talking,talking
treadmill-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking,free
2 mph-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
3.5 mph-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
non-dominant h-wear on,unkown,unkown,unwear,unkown,unkown,unkown
treadmill-wear on,upright,unkown,unkown,indoor,unkown,unkown
non-dominant h-walking-wear on,upright,ambulation,unwear,unkown,self-paced walking,free
carrying drinking-non-dominant h-walking-wear on,upright,ambulation,unwear,unkown,self-paced walking carrying a drink,carrying a drink
phone talking-texting-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and texting and talking and using phone,holding cellphone
texting-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and texting,using phone
phone talking-wear on,unkown,unkown,unkown,unkown,talking and using phone,holding cellphone
bag-dominant h-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
bag-dominant h-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
5.5 mph-jog/running-treadmill,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
5.5 mph-jog/running-treadmill-wear on,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
laundry-wear on,unkown,unkown,unkown,unkown,unkown,laundry
laundry-standing-wear on,upright,sedentary,sedentary,unkown,standing naturally,laundry
sweeping-wear on,upright,others,others,indoor,sweeping,sweeping
sweeping-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and sweeping,sweeping
reclining-sitting-texting,sitting,sedentary,sedentary,unkown,sitting and reclining and texting,using phone
city-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking,free
vending machine-wear on,upright,unkown,unkown,unkown,using vending machine,using vending machine
upper body-vending machine-wear on,upright,unkown,unkown,unkown,using vending machine,using vending machine
outdoors-wear on,unkown,unkown,unkown,outdoor,unkown,unkown
city-telling story-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
city-lower body-telling story-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
escalator-wear on,upright,unkown,unkown,indoor,escalator,free
escalator-up-wear on,upright,unkown,unkown,indoor,escalator up,free
stairs-wear on,upright,ambulation,ambulation,indoor,escalator,free
down-stairs-wear on,upright,ambulation,ambulation,indoor,walking down stairs,free
stop light-wear on,unkown,unkown,unkown,outdoor,unkown,unkown
waiting-wear on,unkown,sedentary,sedentary,unkown,unkown,unkown
city-waiting-wear on,unkown,sedentary,sedentary,outdoor,unkown,unkown
city-standing-waiting-wear on,upright,sedentary,sedentary,outdoor,standing naturally,free
mbta-standing-wear on,upright,sedentary,sedentary,indoor,standing naturally,free
dominant h-mbta-standing-wear on,upright,sedentary,sedentary,indoor,standing naturally,free
city-texting-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and texting,using phone
biking-city,sitting,cycling,cycling,outdoor,biking,biking
bag-wear on,unkown,unkown,unkown,unkown, with bag,free
bag-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
bag-stairs-wear on,upright,ambulation,ambulation,indoor,escalator with bag,free
bag-stairs-up-wear on,upright,ambulation,ambulation,indoor,escalator with bag,free
bag-stairs-texting-up-wear on,upright,ambulation,ambulation,indoor,texting and escalator with bag,using phone
bag-up-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
lying-texting,lying,sedentary,sleep,indoor,texting,still
sitting-texting-wear on,sitting,sedentary,sedentary,unkown,sitting and texting,using phone
texting-wear on,unkown,sedentary,sedentary,unkown,texting,using phone
texting-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and texting,using phone
reclining-texting-wear on,sitting,sedentary,sedentary,unkown,reclining and texting,using phone
reclining-sitting-texting-wear on,sitting,sedentary,sedentary,unkown,sitting and reclining and texting,using phone
texting-treadmill-typing-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and keyboard typing and texting,keyboard typing
texting-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and texting,using phone
1 mph-arms on desk-texting-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph and texting with arms on desk,arms on desk
2 mph-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
2 mph-texting-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph and texting,using phone
non-dominant h,unkown,unkown,unkown,unkown,unkown,unkown
non-dominant h-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
bag-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking with bag,free
carrying drinking-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
3 mph-carrying drinking-treadmill-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
