HEADER_TIME_STAMP,MAGNITUDE,SAMPLE_COUNTS
2015-11-19 17:14:59.070,330,43
2015-11-19 17:15:00.062,357,40
2015-11-19 17:15:01.069,315,39
2015-11-19 17:15:02.077,269,40
2015-11-19 17:15:48.859,506,40
2015-11-19 17:15:49.847,1756,39
2015-11-19 17:15:50.860,353,39
2015-11-19 17:15:51.850,294,40
2015-11-19 17:15:52.848,367,40
2015-11-19 17:15:53.855,371,40
2015-11-19 17:15:54.854,359,37
2015-11-19 17:15:55.850,384,39
2015-11-19 17:15:56.856,437,38
2015-11-19 17:15:57.868,411,38
2015-11-19 17:15:58.835,456,39
2015-11-19 17:15:59.858,588,38
2015-11-19 17:16:00.867,435,40
2015-11-19 17:16:01.860,406,39
2015-11-19 17:16:02.847,432,39
2015-11-19 17:16:03.848,331,43
2015-11-19 17:16:04.853,292,41
2015-11-19 17:16:05.836,331,40
2015-11-19 17:16:06.833,374,39
2015-11-19 17:16:07.848,320,42
2015-11-19 17:16:45.901,1230,38
2015-11-19 17:16:46.904,1441,38
2015-11-19 17:16:47.900,1361,42
2015-11-19 17:16:48.907,1335,40
2015-11-19 17:16:49.891,1269,39
2015-11-19 17:16:50.898,1330,39
2015-11-19 17:16:51.900,1370,40
2015-11-19 17:16:52.887,1569,40
2015-11-19 17:16:53.887,1368,40
2015-11-19 17:16:54.931,1560,40
2015-11-19 17:16:55.925,1102,39
2015-11-19 17:16:56.900,1237,38
2015-11-19 17:16:57.898,1697,39
2015-11-19 17:16:58.922,1533,41
2015-11-19 17:16:59.892,1553,41
2015-11-19 17:17:00.893,1616,40
2015-11-19 17:17:01.892,1363,39
2015-11-19 17:17:02.884,1363,39
2015-11-19 17:17:03.904,1838,39
2015-11-19 17:17:04.914,1768,40
2015-11-19 17:18:09.408,1328,39
2015-11-19 17:18:10.404,1693,41
2015-11-19 17:18:11.531,1368,43
2015-11-19 17:18:12.406,1333,37
2015-11-19 17:18:13.392,1404,38
2015-11-19 17:18:14.403,1515,40
2015-11-19 17:18:15.417,1691,40
2015-11-19 17:18:16.409,1589,39
2015-11-19 17:18:17.398,1198,40
2015-11-19 17:18:18.392,1495,39
2015-11-19 17:18:19.396,1362,41
2015-11-19 17:18:20.415,1484,40
2015-11-19 17:18:21.423,1426,39
2015-11-19 17:18:22.427,1540,39
2015-11-19 17:18:23.401,1559,38
2015-11-19 17:18:24.411,1473,37
2015-11-19 17:18:25.406,1395,40
2015-11-19 17:18:26.599,1690,38
2015-11-19 17:18:27.405,1638,40
2015-11-19 17:18:28.425,1824,38
2015-11-19 17:19:23.140,1604,40
2015-11-19 17:19:24.138,1551,41
2015-11-19 17:19:25.131,1398,41
2015-11-19 17:19:26.146,1643,41
2015-11-19 17:19:27.336,1918,40
2015-11-19 17:19:28.146,1951,40
2015-11-19 17:19:29.221,2023,39
2015-11-19 17:19:30.156,1938,40
2015-11-19 17:19:31.149,2242,43
2015-11-19 17:19:32.149,2112,40
2015-11-19 17:19:33.167,2954,42
2015-11-19 17:19:34.131,2395,39
2015-11-19 17:19:35.156,2643,42
2015-11-19 17:19:36.151,2578,39
2015-11-19 17:19:37.151,2978,40
